Dispatch_id,Ticket_type,Order_type,Priority,Required_skill,Status,Street,City,County,State,Postal_code,Customer_latitude,Customer_longitude,Appointment_start_datetime,Appointment_end_datetime,Duration_min,Assigned_technician_id,Optimized_technician_id,Resolution_type,Optimization_status,Optimization_timestamp,Optimization_confidence
200000023,Order,install,Normal,Fiber ONT installation,Pending,8230 Main St,Phoenix,PHOENIX,AZ,78402,33.686301,-112.19784,2026-01-19 15:15:00,2026-01-19 16:45:00,90,T900065,,,pending,,
200000024,Trouble,,Critical,Network troubleshooting,In Progress,7498 Elm St,New York,NEW YORK,NY,37327,40.433184,-73.743839,2025-11-18 09:30:00,2025-11-18 11:30:00,120,T900010,,,pending,,
200000025,Order,install,Normal,Copper ONT installation,In Progress,1343 Main St,Phoenix,PHOENIX,AZ,98356,33.224153,-111.864087,2026-01-13 10:00:00,2026-01-13 11:00:00,60,T900064,,,pending,,
200000026,Trouble,,Critical,Line repair,In Progress,7905 Elm St,San Diego,SAN DIEGO,CA,46100,32.637024,-116.823745,2026-01-31 15:15:00,2026-01-31 16:45:00,90,T900105,,,pending,,
200000027,Trouble,,Low,Network support,Pending,9774 Elm St,Los Angeles,LOS ANGELES,CA,21853,33.950391,-118.149111,2026-01-19 10:15:00,2026-01-19 11:15:00,60,T900023,,,pending,,
200000028,Trouble,,Low,Network support,In Progress,7507 Elm St,Dallas,DALLAS,TX,38427,33.101925,-97.152284,2025-12-02 16:00:00,2025-12-02 16:30:00,30,T900126,,,pending,,
200000029,Order,install,Normal,Copper ONT installation,Pending,6888 Elm St,Philadelphia,PHILADELPHIA,PA,93501,40.171038,-75.359285,2025-12-17 09:30:00,2025-12-17 11:00:00,90,T900085,,,pending,,
200000030,Trouble,,Critical,Network troubleshooting,Pending,5191 Elm St,Los Angeles,LOS ANGELES,CA,65616,33.713084,-118.445886,2025-12-02 09:15:00,2025-12-02 09:45:00,30,T900027,,,pending,,
200000031,Trouble,,Critical,Line repair,Pending,641 Elm St,Phoenix,PHOENIX,AZ,95976,33.568347,-112.210557,2026-01-02 08:15:00,2026-01-02 09:15:00,60,T900074,,,pending,,
200000032,Order,install,Normal,Fiber ONT installation,In Progress,1982 Elm St,San Diego,SAN DIEGO,CA,53311,32.553232,-116.992681,2026-01-30 10:15:00,2026-01-30 11:45:00,90,T900113,,,pending,,
200000033,Order,install,Normal,Fiber ONT installation,Pending,2997 Washington St,New York,NEW YORK,NY,77524,40.614263,-73.943833,2026-01-08 08:45:00,2026-01-08 10:45:00,120,T900006,,,pending,,
200000034,Order,install,Normal,Copper ONT installation,In Progress,680 Elm St,New York,NEW YORK,NY,90733,40.439329,-74.214886,2025-12-04 14:00:00,2025-12-04 14:30:00,30,T900005,,,pending,,
200000035,Trouble,,Critical,Line repair,Pending,3531 Oak St,San Antonio,SAN ANTONIO,TX,70411,29.338034,-98.846182,2026-01-05 11:15:00,2026-01-05 11:45:00,30,T900092,,,pending,,
200000036,Trouble,,Critical,Line repair,In Progress,7951 Elm St,Dallas,DALLAS,TX,95275,32.79135,-96.521185,2026-01-02 14:15:00,2026-01-02 16:15:00,120,T900132,,,pending,,
200000037,Trouble,,Low,Network support,Pending,499 Main St,Chicago,CHICAGO,IL,90690,42.11839,-87.710968,2026-01-03 13:30:00,2026-01-03 14:00:00,30,T900042,,,pending,,
200000038,Order,install,Normal,Fiber ONT installation,In Progress,713 Main St,Chicago,CHICAGO,IL,43294,41.657291,-87.378141,2025-12-04 12:15:00,2025-12-04 12:45:00,30,T900034,,,pending,,
200000039,Trouble,,Low,Network support,Pending,4652 Main St,San Antonio,SAN ANTONIO,TX,39463,29.635444,-98.702506,2025-11-22 10:30:00,2025-11-22 11:30:00,60,T900093,,,pending,,
200000040,Trouble,,Low,Network support,Pending,2261 Main St,Los Angeles,LOS ANGELES,CA,58806,34.188371,-118.378036,2026-01-15 15:30:00,2026-01-15 17:00:00,90,T900028,,,pending,,
200000041,Order,install,Normal,Fiber ONT installation,In Progress,2675 Washington St,San Diego,SAN DIEGO,CA,23941,32.565208,-117.175125,2025-11-28 16:45:00,2025-11-28 18:15:00,90,T900109,,,pending,,
200000042,Trouble,,Critical,Line repair,In Progress,1352 Main St,Austin,AUSTIN,TX,55003,30.298733,-97.899053,2025-12-12 16:45:00,2025-12-12 17:15:00,30,T900145,,,pending,,
200000043,Trouble,,Critical,Line repair,Pending,4996 Main St,Houston,HOUSTON,TX,21268,29.517324,-95.116778,2025-11-19 09:30:00,2025-11-19 11:30:00,120,T900050,,,pending,,
200000044,Order,install,Normal,Copper ONT installation,In Progress,9308 Oak St,Houston,HOUSTON,TX,95792,29.6177,-95.222508,2025-11-12 13:45:00,2025-11-12 15:15:00,90,T900048,,,pending,,
200000045,Order,upgrade,Normal,Equipment upgrade,In Progress,4945 Oak St,San Diego,SAN DIEGO,CA,29005,32.913017,-117.430531,2025-11-28 14:00:00,2025-11-28 14:30:00,30,T900106,,,pending,,
200000046,Order,upgrade,Normal,Equipment upgrade,Pending,7449 Main St,Phoenix,PHOENIX,AZ,32893,33.359875,-111.763569,2025-11-13 09:30:00,2025-11-13 11:30:00,120,T900060,,,pending,,
200000047,Order,upgrade,Normal,Equipment upgrade,Pending,8503 Washington St,Chicago,CHICAGO,IL,43632,41.552783,-87.379299,2025-12-08 14:15:00,2025-12-08 14:45:00,30,T900042,,,pending,,
200000048,Order,install,Normal,Copper ONT installation,Pending,7632 Main St,Houston,HOUSTON,TX,69752,29.609007,-95.158996,2026-01-21 13:00:00,2026-01-21 14:00:00,60,T900057,,,pending,,
200000049,Trouble,,Critical,Line repair,Pending,3897 Washington St,Chicago,CHICAGO,IL,94740,41.775125,-87.284933,2025-11-29 10:30:00,2025-11-29 11:30:00,60,T900031,,,pending,,
200000050,Trouble,,Low,Network support,In Progress,4363 Washington St,Austin,AUSTIN,TX,93549,29.972821,-97.640214,2026-01-12 10:30:00,2026-01-12 12:00:00,90,T900137,,,pending,,
200000051,Order,install,Normal,Copper ONT installation,In Progress,7747 Oak St,New York,NEW YORK,NY,38669,40.453663,-74.339111,2025-12-07 14:00:00,2025-12-07 15:00:00,60,T900005,,,pending,,
200000052,Trouble,,Critical,Network troubleshooting,In Progress,2137 Elm St,San Diego,SAN DIEGO,CA,25644,32.776511,-117.211081,2026-01-22 10:15:00,2026-01-22 11:45:00,90,T900114,,,pending,,
200000053,Trouble,,Critical,Network troubleshooting,In Progress,5747 Oak St,Houston,HOUSTON,TX,68803,29.719041,-95.301711,2025-12-16 08:15:00,2025-12-16 10:15:00,120,T900057,,,pending,,
200000054,Trouble,,Critical,Network troubleshooting,Pending,6400 Washington St,Austin,AUSTIN,TX,40436,30.150624,-97.870804,2026-01-24 15:00:00,2026-01-24 16:00:00,60,T900148,,,pending,,
200000055,Trouble,,Low,Network support,Pending,1770 Washington St,Dallas,DALLAS,TX,59345,32.869897,-96.842935,2026-01-18 13:45:00,2026-01-18 14:15:00,30,T900133,,,pending,,
200000056,Trouble,,Critical,Line repair,Pending,1631 Washington St,Los Angeles,LOS ANGELES,CA,46395,34.064054,-118.538078,2025-11-25 11:30:00,2025-11-25 12:00:00,30,T900015,,,pending,,
200000057,Order,install,Normal,Fiber ONT installation,In Progress,1615 Main St,Chicago,CHICAGO,IL,45620,41.598934,-87.408632,2025-12-10 11:15:00,2025-12-10 11:45:00,30,T900038,,,pending,,
200000058,Order,install,Normal,Copper ONT installation,Pending,130 Main St,San Antonio,SAN ANTONIO,TX,32179,29.531335,-98.47001,2025-12-22 08:15:00,2025-12-22 08:45:00,30,T900102,,,pending,,
200000059,Trouble,,Critical,Network troubleshooting,Pending,7136 Oak St,Chicago,CHICAGO,IL,32441,41.961739,-87.891968,2025-12-01 12:00:00,2025-12-01 14:00:00,120,T900033,,,pending,,
200000060,Order,upgrade,Normal,Equipment upgrade,In Progress,5942 Oak St,San Antonio,SAN ANTONIO,TX,41426,29.752019,-98.634873,2025-11-24 15:15:00,2025-11-24 17:15:00,120,T900090,,,pending,,
200000061,Trouble,,Low,Network support,Pending,1563 Washington St,Chicago,CHICAGO,IL,77900,42.233046,-87.520752,2025-12-16 12:45:00,2025-12-16 14:45:00,120,T900032,,,pending,,
200000062,Trouble,,Low,Network support,Pending,7491 Oak St,Chicago,CHICAGO,IL,53626,42.010763,-87.27436,2026-01-14 15:15:00,2026-01-14 16:45:00,90,T900037,,,pending,,
200000063,Trouble,,Critical,Network troubleshooting,In Progress,4406 Washington St,New York,NEW YORK,NY,30603,40.790977,-74.29701,2026-01-13 12:30:00,2026-01-13 14:30:00,120,T900010,,,pending,,
200000064,Order,upgrade,Normal,Equipment upgrade,Pending,3325 Elm St,Chicago,CHICAGO,IL,82033,41.943375,-87.455036,2026-01-19 11:45:00,2026-01-19 13:15:00,90,T900037,,,pending,,
200000065,Trouble,,Low,Network support,Pending,8345 Main St,Austin,AUSTIN,TX,17423,30.541613,-98.092539,2025-11-19 16:15:00,2025-11-19 16:45:00,30,T900138,,,pending,,
200000066,Order,install,Normal,Fiber ONT installation,Pending,7890 Washington St,New York,NEW YORK,NY,10186,40.837445,-74.212467,2025-11-13 15:00:00,2025-11-13 15:30:00,30,T900005,,,pending,,
200000067,Order,upgrade,Normal,Equipment upgrade,In Progress,4258 Oak St,Los Angeles,LOS ANGELES,CA,45633,34.126596,-117.941524,2025-12-25 12:00:00,2025-12-25 13:30:00,90,T900023,,,pending,,
200000068,Trouble,,Low,Network support,Pending,8519 Oak St,Houston,HOUSTON,TX,68425,29.969137,-95.729513,2025-11-12 12:45:00,2025-11-12 14:15:00,90,T900055,,,pending,,
200000069,Order,install,Normal,Copper ONT installation,Pending,9840 Elm St,Houston,HOUSTON,TX,70949,29.677508,-95.340575,2026-01-02 08:00:00,2026-01-02 09:00:00,60,T900048,,,pending,,
200000070,Trouble,,Low,Network support,In Progress,3272 Main St,Austin,AUSTIN,TX,39607,30.407382,-97.802448,2026-01-03 12:15:00,2026-01-03 12:45:00,30,T900137,,,pending,,
200000071,Order,install,Normal,Copper ONT installation,Pending,5076 Main St,San Diego,SAN DIEGO,CA,78594,32.890593,-116.98827,2025-12-28 13:15:00,2025-12-28 14:45:00,90,T900111,,,pending,,
200000072,Order,install,Normal,Fiber ONT installation,In Progress,3905 Elm St,Austin,AUSTIN,TX,54684,30.022203,-98.062831,2025-12-10 13:15:00,2025-12-10 15:15:00,120,T900143,,,pending,,
200000073,Order,install,Normal,Copper ONT installation,Pending,3003 Washington St,Austin,AUSTIN,TX,39426,30.129584,-97.594607,2025-12-01 16:45:00,2025-12-01 17:45:00,60,T900140,,,pending,,
200000074,Order,install,Normal,Copper ONT installation,In Progress,9491 Oak St,New York,NEW YORK,NY,27016,40.977484,-74.115412,2025-11-15 14:30:00,2025-11-15 15:30:00,60,T900005,,,pending,,
200000075,Trouble,,Critical,Line repair,In Progress,8727 Washington St,San Diego,SAN DIEGO,CA,79200,32.928828,-117.184502,2025-11-30 09:30:00,2025-11-30 11:30:00,120,T900118,,,pending,,
200000076,Order,install,Normal,Copper ONT installation,In Progress,8052 Oak St,Houston,HOUSTON,TX,71112,29.561208,-95.717699,2025-12-03 11:30:00,2025-12-03 12:30:00,60,T900048,,,pending,,
200000077,Order,upgrade,Normal,Equipment upgrade,Pending,7115 Elm St,Houston,HOUSTON,TX,37838,29.901434,-95.45098,2025-12-06 09:00:00,2025-12-06 10:30:00,90,T900059,,,pending,,
200000078,Order,install,Normal,Copper ONT installation,In Progress,8471 Washington St,Dallas,DALLAS,TX,70048,32.702392,-96.693865,2025-12-20 15:45:00,2025-12-20 17:45:00,120,T900122,,,pending,,
200000079,Trouble,,Critical,Network troubleshooting,Pending,8357 Oak St,San Diego,SAN DIEGO,CA,67644,32.867515,-117.480274,2025-12-12 14:15:00,2025-12-12 16:15:00,120,T900114,,,pending,,
200000080,Order,install,Normal,Fiber ONT installation,In Progress,6090 Main St,Austin,AUSTIN,TX,44820,29.991915,-97.996841,2025-11-24 12:15:00,2025-11-24 13:15:00,60,T900143,,,pending,,
200000081,Order,upgrade,Normal,Equipment upgrade,In Progress,1225 Washington St,New York,NEW YORK,NY,81986,40.51539,-74.077341,2025-12-25 13:30:00,2025-12-25 15:30:00,120,T900010,,,pending,,
200000082,Order,install,Normal,Fiber ONT installation,Pending,6065 Elm St,New York,NEW YORK,NY,80666,41.062974,-74.080556,2026-01-01 08:15:00,2026-01-01 09:45:00,90,T900006,,,pending,,
200000083,Trouble,,Low,Network support,In Progress,8330 Elm St,New York,NEW YORK,NY,58255,40.569807,-73.687718,2026-01-30 14:45:00,2026-01-30 16:45:00,120,T900004,,,pending,,
200000084,Trouble,,Critical,Line repair,In Progress,4667 Oak St,Austin,AUSTIN,TX,90369,30.003665,-97.396274,2025-12-14 14:30:00,2025-12-14 15:00:00,30,T900148,,,pending,,
200000085,Order,install,Normal,Copper ONT installation,In Progress,8683 Main St,Dallas,DALLAS,TX,14452,33.109176,-96.954195,2026-01-18 16:30:00,2026-01-18 18:30:00,120,T900130,,,pending,,
200000086,Trouble,,Low,Network support,In Progress,9644 Main St,Los Angeles,LOS ANGELES,CA,68995,34.121805,-118.139643,2025-12-14 12:30:00,2025-12-14 13:30:00,60,T900025,,,pending,,
200000087,Trouble,,Critical,Line repair,Pending,8290 Washington St,New York,NEW YORK,NY,43070,40.895762,-74.012746,2025-11-17 09:45:00,2025-11-17 10:45:00,60,T900001,,,pending,,
200000088,Order,install,Normal,Fiber ONT installation,Pending,9895 Elm St,New York,NEW YORK,NY,79453,40.588938,-74.167558,2026-01-29 15:15:00,2026-01-29 17:15:00,120,T900006,,,pending,,
200000089,Trouble,,Low,Network support,In Progress,6533 Oak St,Phoenix,PHOENIX,AZ,47052,33.692694,-111.876537,2026-01-27 14:00:00,2026-01-27 15:00:00,60,T900071,,,pending,,
200000090,Trouble,,Low,Network support,Pending,2363 Oak St,Dallas,DALLAS,TX,78406,33.059539,-96.583094,2026-01-27 10:00:00,2026-01-27 12:00:00,120,T900126,,,pending,,
200000091,Trouble,,Low,Network support,Pending,5826 Main St,San Diego,SAN DIEGO,CA,58243,32.436355,-116.881266,2025-11-29 09:15:00,2025-11-29 10:15:00,60,T900117,,,pending,,
200000092,Trouble,,Critical,Line repair,In Progress,6408 Washington St,Los Angeles,LOS ANGELES,CA,95496,34.285907,-117.950724,2025-11-17 10:15:00,2025-11-17 11:45:00,90,T900020,,,pending,,
200000093,Order,install,Normal,Fiber ONT installation,In Progress,6329 Elm St,San Diego,SAN DIEGO,CA,68168,32.690022,-117.499037,2026-01-11 14:15:00,2026-01-11 14:45:00,30,T900109,,,pending,,
200000094,Order,install,Normal,Fiber ONT installation,In Progress,8168 Main St,Austin,AUSTIN,TX,30566,29.982772,-97.42714,2025-12-31 16:45:00,2025-12-31 18:15:00,90,T900139,,,pending,,
200000095,Trouble,,Critical,Line repair,In Progress,6005 Main St,Austin,AUSTIN,TX,83477,30.539851,-97.578798,2025-12-07 10:15:00,2025-12-07 11:45:00,90,T900141,,,pending,,
200000096,Order,upgrade,Normal,Equipment upgrade,Pending,9236 Elm St,New York,NEW YORK,NY,19844,40.416786,-73.863247,2025-12-27 16:30:00,2025-12-27 18:00:00,90,T900013,,,pending,,
200000097,Order,upgrade,Normal,Equipment upgrade,In Progress,3813 Washington St,Chicago,CHICAGO,IL,83464,42.028308,-87.627884,2025-12-15 14:00:00,2025-12-15 14:30:00,30,T900042,,,pending,,
200000098,Trouble,,Low,Network support,Pending,4209 Washington St,New York,NEW YORK,NY,11333,40.673206,-73.82244,2025-12-15 09:15:00,2025-12-15 10:45:00,90,T900004,,,pending,,
200000099,Trouble,,Critical,Line repair,Pending,5923 Elm St,Philadelphia,PHILADELPHIA,PA,54830,40.128388,-75.3773,2025-11-28 11:00:00,2025-11-28 11:30:00,30,T900087,,,pending,,
200000100,Trouble,,Critical,Network troubleshooting,In Progress,6287 Elm St,Dallas,DALLAS,TX,54233,33.036883,-96.491482,2026-01-22 11:45:00,2026-01-22 13:15:00,90,T900127,,,pending,,
200000101,Order,install,Normal,Fiber ONT installation,In Progress,4128 Main St,Los Angeles,LOS ANGELES,CA,48284,33.8458,-118.547356,2026-01-01 14:45:00,2026-01-01 15:15:00,30,T900023,,,pending,,
200000102,Trouble,,Low,Network support,In Progress,7971 Washington St,Phoenix,PHOENIX,AZ,94448,33.701076,-111.883818,2026-01-21 14:15:00,2026-01-21 15:45:00,90,T900063,,,pending,,
200000103,Trouble,,Low,Network support,In Progress,5894 Washington St,Houston,HOUSTON,TX,34115,29.519139,-95.654655,2025-12-03 11:30:00,2025-12-03 12:30:00,60,T900049,,,pending,,
200000104,Order,install,Normal,Copper ONT installation,In Progress,8387 Main St,Dallas,DALLAS,TX,44752,32.736831,-97.155202,2025-11-25 12:30:00,2025-11-25 13:30:00,60,T900134,,,pending,,
200000105,Order,install,Normal,Fiber ONT installation,In Progress,8929 Main St,Dallas,DALLAS,TX,99551,32.778507,-96.466222,2025-11-18 15:30:00,2025-11-18 16:30:00,60,T900126,,,pending,,
200000106,Order,install,Normal,Fiber ONT installation,Pending,5804 Elm St,New York,NEW YORK,NY,40307,40.785373,-74.066661,2025-11-19 09:30:00,2025-11-19 11:00:00,90,T900007,,,pending,,
200000107,Order,install,Normal,Fiber ONT installation,In Progress,2788 Elm St,Philadelphia,PHILADELPHIA,PA,69236,39.891199,-75.339939,2025-12-13 09:15:00,2025-12-13 10:45:00,90,T900081,,,pending,,
200000108,Trouble,,Critical,Network troubleshooting,In Progress,5227 Main St,Chicago,CHICAGO,IL,38922,42.22481,-87.352457,2025-11-25 10:30:00,2025-11-25 12:30:00,120,T900040,,,pending,,
200000109,Trouble,,Critical,Network troubleshooting,In Progress,4423 Main St,Los Angeles,LOS ANGELES,CA,36868,33.910659,-118.206827,2025-12-15 16:45:00,2025-12-15 18:15:00,90,T900027,,,pending,,
200000110,Trouble,,Critical,Network troubleshooting,In Progress,5660 Main St,Los Angeles,LOS ANGELES,CA,27678,34.102186,-118.441209,2026-01-03 14:15:00,2026-01-03 16:15:00,120,T900027,,,pending,,
200000111,Order,install,Normal,Fiber ONT installation,Pending,793 Elm St,Austin,AUSTIN,TX,20772,30.231414,-98.021971,2025-12-21 09:45:00,2025-12-21 11:15:00,90,T900142,,,pending,,
200000112,Order,install,Normal,Copper ONT installation,Pending,2536 Washington St,San Antonio,SAN ANTONIO,TX,29807,29.383009,-98.584471,2025-12-19 14:15:00,2025-12-19 15:15:00,60,T900104,,,pending,,
200000113,Order,upgrade,Normal,Equipment upgrade,Pending,7123 Oak St,San Diego,SAN DIEGO,CA,77681,33.033556,-117.45566,2025-11-28 13:00:00,2025-11-28 13:30:00,30,T900112,,,pending,,
200000114,Order,upgrade,Normal,Equipment upgrade,Pending,6704 Washington St,New York,NEW YORK,NY,63706,40.6173,-73.734381,2025-11-30 11:15:00,2025-11-30 12:45:00,90,T900008,,,pending,,
200000115,Order,install,Normal,Copper ONT installation,In Progress,7393 Oak St,Los Angeles,LOS ANGELES,CA,65622,33.982349,-118.190806,2026-01-10 08:15:00,2026-01-10 09:45:00,90,T900021,,,pending,,
200000116,Trouble,,Critical,Line repair,In Progress,8604 Oak St,Austin,AUSTIN,TX,93691,30.613608,-98.100127,2025-12-26 11:15:00,2025-12-26 13:15:00,120,T900145,,,pending,,
200000117,Trouble,,Low,Network support,Pending,3267 Elm St,New York,NEW YORK,NY,87163,40.959172,-73.654763,2025-12-21 10:15:00,2025-12-21 12:15:00,120,T900006,,,pending,,
200000118,Order,install,Normal,Copper ONT installation,Pending,3974 Washington St,Dallas,DALLAS,TX,74929,32.816487,-96.968631,2025-11-21 13:45:00,2025-11-21 15:15:00,90,T900122,,,pending,,
200000119,Order,upgrade,Normal,Equipment upgrade,Pending,8796 Washington St,Philadelphia,PHILADELPHIA,PA,15112,40.206591,-74.90175,2025-12-24 09:30:00,2025-12-24 11:00:00,90,T900086,,,pending,,
200000120,Order,install,Normal,Fiber ONT installation,Pending,3226 Oak St,Los Angeles,LOS ANGELES,CA,61094,33.81857,-118.529696,2025-12-02 15:00:00,2025-12-02 16:30:00,90,T900017,,,pending,,
200000121,Order,install,Normal,Fiber ONT installation,In Progress,7200 Main St,Austin,AUSTIN,TX,66618,29.954341,-97.387768,2025-12-23 08:30:00,2025-12-23 10:30:00,120,T900143,,,pending,,
200000122,Order,install,Normal,Copper ONT installation,Pending,2409 Washington St,New York,NEW YORK,NY,96963,40.911726,-73.792208,2026-01-14 08:00:00,2026-01-14 09:00:00,60,T900013,,,pending,,
200000123,Order,install,Normal,Copper ONT installation,In Progress,3308 Oak St,San Diego,SAN DIEGO,CA,74744,32.457457,-116.975714,2026-01-13 16:15:00,2026-01-13 17:45:00,90,T900111,,,pending,,
200000124,Order,install,Normal,Fiber ONT installation,In Progress,1791 Washington St,San Antonio,SAN ANTONIO,TX,62480,29.201347,-98.706592,2025-12-11 12:45:00,2025-12-11 14:15:00,90,T900104,,,pending,,
200000125,Trouble,,Low,Network support,Pending,9432 Oak St,Phoenix,PHOENIX,AZ,30614,33.621242,-111.974634,2025-11-25 15:45:00,2025-11-25 16:15:00,30,T900071,,,pending,,
200000126,Order,upgrade,Normal,Equipment upgrade,Pending,351 Oak St,Phoenix,PHOENIX,AZ,19498,33.658496,-112.23402,2025-11-17 09:45:00,2025-11-17 10:15:00,30,T900060,,,pending,,
200000127,Order,install,Normal,Fiber ONT installation,Pending,9975 Main St,Philadelphia,PHILADELPHIA,PA,99881,39.935671,-74.97666,2025-12-29 12:30:00,2025-12-29 13:00:00,30,T900088,,,pending,,
200000128,Order,install,Normal,Copper ONT installation,In Progress,3134 Washington St,Philadelphia,PHILADELPHIA,PA,69213,39.724464,-75.400563,2025-11-26 08:45:00,2025-11-26 10:15:00,90,T900076,,,pending,,
200000129,Trouble,,Critical,Network troubleshooting,Pending,6080 Main St,Los Angeles,LOS ANGELES,CA,88016,33.758833,-118.337628,2026-01-13 09:15:00,2026-01-13 11:15:00,120,T900026,,,pending,,
200000130,Trouble,,Critical,Line repair,In Progress,2503 Oak St,Austin,AUSTIN,TX,83563,30.561592,-97.970203,2026-01-29 11:00:00,2026-01-29 13:00:00,120,T900145,,,pending,,
200000131,Trouble,,Low,Network support,Pending,871 Washington St,San Antonio,SAN ANTONIO,TX,13808,29.334446,-98.631715,2025-11-21 13:45:00,2025-11-21 15:45:00,120,T900099,,,pending,,
200000132,Order,install,Normal,Fiber ONT installation,Pending,6025 Washington St,Houston,HOUSTON,TX,72288,29.719479,-95.649013,2025-12-18 14:00:00,2025-12-18 15:00:00,60,T900048,,,pending,,
200000133,Trouble,,Critical,Network troubleshooting,In Progress,6033 Elm St,San Diego,SAN DIEGO,CA,27656,32.377835,-116.90769,2025-12-20 16:00:00,2025-12-20 17:00:00,60,T900113,,,pending,,
