Dispatch_id,Ticket_type,Order_type,Priority,Required_skill,Status,Street,City,County,State,Postal_code,Customer_latitude,Customer_longitude,Appointment_start_datetime,Appointment_end_datetime,Duration_min,Assigned_technician_id,Optimized_technician_id,Resolution_type,Optimization_status,Optimization_timestamp,Optimization_confidence,Appointment_start_time,Appointment_date,Initial_confidence,Initial_success_prob,Initial_predicted_duration_min,Initial_workload_ratio,Initial_distance_km,Predicted_success_prob,Optimized_predicted_duration_min,Fallback_level,Optimized_workload_ratio,Optimized_distance_km,Confidence_improvement,Success_prob_improvement,Duration_change,Workload_ratio_change,Distance_change_km
200000010,Order,install,Normal,Fiber ONT installation,Pending,7225 Elm St,Houston,HOUSTON,TX,39736,29.93283,-95.69278,2026-01-18 10:00:00,2026-01-18 11:30:00,90,T900055,T900053,,completed,2025-11-19 10:41:53,0.345,2026-01-18 10:00:00,2026-01-18,0.442,0.611,67.3,0.857,17.96,0.729,58.8,ml_based,0.375,49.04,-0.09700000000000003,0.118,-8.5,-0.482,31.08
200000011,Trouble,,Low,Network support,In Progress,4898 Washington St,San Diego,SAN DIEGO,CA,95029,32.873657,-117.50571,2025-12-15 14:45:00,2025-12-15 15:45:00,60,T900109,T900108,,completed,2025-11-19 10:41:53,0.603,2025-12-15 14:45:00,2025-12-15,0.411,0.661,67.8,0.5,32.39,0.699,62.5,ml_based,0.0,35.67,0.192,0.03799999999999992,-5.299999999999997,-0.5,3.280000000000001
200000012,Order,upgrade,Normal,Equipment upgrade,Pending,8486 Elm St,San Diego,SAN DIEGO,CA,55818,32.867798,-117.50864,2026-01-29 13:45:00,2026-01-29 15:15:00,90,T900112,T900108,,completed,2025-11-19 10:41:53,0.486,2026-01-29 13:45:00,2026-01-29,0.037,0.476,70.8,1.0,46.88,0.67,71.6,ml_based,0.25,36.09,0.449,0.19400000000000006,0.7999999999999972,-0.75,-10.79
200000013,Order,install,Normal,Copper ONT installation,In Progress,8113 Elm St,Dallas,DALLAS,TX,63832,32.73991,-97.04835,2025-12-09 10:30:00,2025-12-09 12:30:00,120,T900128,T900124,,completed,2025-11-19 10:41:53,0.398,2025-12-09 10:30:00,2025-12-09,0.379,0.645,58.6,0.4,38.41,0.679,45.7,ml_based,0.2,41.55,0.019000000000000017,0.03400000000000003,-12.899999999999999,-0.2,3.1400000000000006
200000014,Trouble,,Critical,Network troubleshooting,In Progress,3328 Elm St,Austin,AUSTIN,TX,60781,30.429743,-97.39635,2026-01-08 11:00:00,2026-01-08 13:00:00,120,T900148,T900137,,completed,2025-11-19 10:41:53,0.634,2026-01-08 11:00:00,2026-01-08,0.08,0.593,73.3,0.8,51.07,0.685,75.6,ml_based,0.25,24.83,0.554,0.09200000000000008,2.299999999999997,-0.55,-26.240000000000002
200000015,Order,install,Normal,Fiber ONT installation,Pending,930 Washington St,San Diego,SAN DIEGO,CA,72785,32.603333,-117.40222,2025-12-15 15:15:00,2025-12-15 16:15:00,60,T900108,T900115,,completed,2025-11-19 10:41:53,0.414,2025-12-15 15:15:00,2025-12-15,0.453,0.735,58.1,0.0,45.62,0.713,67.3,ml_based,0.125,49.36,-0.039000000000000035,-0.02200000000000002,9.199999999999996,0.125,3.740000000000002
200000016,Trouble,,Critical,Network troubleshooting,In Progress,5548 Main St,Chicago,CHICAGO,IL,12478,41.72897,-87.55932,2025-11-21 14:00:00,2025-11-21 15:00:00,60,T900033,T900037,,completed,2025-11-19 10:41:53,0.619,2025-11-21 14:00:00,2025-11-21,0.684,0.611,38.2,0.5,9.66,0.753,48.6,ml_based,0.25,20.16,-0.06500000000000006,0.14200000000000002,10.399999999999999,-0.25,10.5
200000017,Trouble,,Critical,Network troubleshooting,Pending,2791 Washington St,San Diego,SAN DIEGO,CA,47608,32.37248,-117.50813,2025-11-29 10:00:00,2025-11-29 10:30:00,30,T900114,T900115,,completed,2025-11-19 10:41:53,0.365,2025-11-29 10:00:00,2025-11-29,0.0,0.554,46.2,1.0,64.71,0.692,64.0,ml_based,0.25,72.36,0.365,0.1379999999999999,17.799999999999997,-0.75,7.650000000000006
200000018,Trouble,,Critical,Line repair,In Progress,5861 Oak St,Chicago,CHICAGO,IL,70216,41.684303,-87.32656,2025-12-31 13:00:00,2025-12-31 14:00:00,60,T900044,T900034,,completed,2025-11-19 10:41:53,0.462,2025-12-31 13:00:00,2025-12-31,0.49,0.478,34.1,0.833,14.75,0.736,52.5,ml_based,0.125,50.97,-0.02799999999999997,0.258,18.4,-0.708,36.22
200000019,Trouble,,Critical,Network troubleshooting,Pending,410 Oak St,New York,NEW YORK,NY,75976,40.44222,-74.290085,2026-01-10 13:15:00,2026-01-10 15:15:00,120,T900010,T900012,,completed,2025-11-19 10:41:53,0.4,2026-01-10 13:15:00,2026-01-10,0.16,0.694,80.4,0.6,69.27,0.75,61.4,ml_based,0.0,70.27,0.24000000000000002,0.05600000000000005,-19.000000000000007,-0.6,1.0
200000020,Order,install,Normal,Fiber ONT installation,Pending,6151 Oak St,Los Angeles,LOS ANGELES,CA,80576,34.121777,-117.95088,2026-01-03 13:45:00,2026-01-03 15:15:00,90,T900023,T900018,,completed,2025-11-19 10:41:53,0.457,2026-01-03 13:45:00,2026-01-03,0.427,0.534,71.4,0.8,21.06,0.753,89.1,ml_based,0.25,39.46,0.030000000000000027,0.21899999999999997,17.69999999999999,-0.55,18.400000000000002
200000021,Trouble,,Critical,Line repair,In Progress,4570 Main St,Phoenix,PHOENIX,AZ,92607,33.22578,-112.14018,2025-11-18 15:00:00,2025-11-18 16:30:00,90,T900065,T900074,,completed,2025-11-19 10:41:53,0.579,2025-11-18 15:00:00,2025-11-18,0.388,0.599,44.1,0.714,27.16,0.724,45.0,ml_based,0.4,20.66,0.19099999999999995,0.125,0.8999999999999986,-0.31399999999999995,-6.5
200000022,Order,upgrade,Normal,Equipment upgrade,In Progress,6639 Oak St,San Antonio,SAN ANTONIO,TX,86402,29.531836,-98.5278,2025-11-22 10:00:00,2025-11-22 12:00:00,120,T900090,T900097,,completed,2025-11-19 10:41:53,0.612,2025-11-22 10:00:00,2025-11-22,0.94,0.682,50.9,0.0,5.04,0.726,54.1,ml_based,0.0,26.33,-0.32799999999999996,0.04399999999999993,3.200000000000003,0.0,21.29
200000023,Order,install,Normal,Fiber ONT installation,Pending,8230 Main St,Phoenix,PHOENIX,AZ,78402,33.686302,-112.19784,2026-01-19 15:15:00,2026-01-19 16:45:00,90,T900065,T900071,,completed,2025-11-19 10:41:53,0.694,2026-01-19 15:15:00,2026-01-19,0.405,0.61,50.1,0.714,25.79,0.736,37.3,ml_based,0.0,26.37,0.2889999999999999,0.126,-12.800000000000004,-0.714,0.5800000000000018
200000024,Trouble,,Critical,Network troubleshooting,In Progress,7498 Elm St,New York,NEW YORK,NY,37327,40.433186,-73.743835,2025-11-18 09:30:00,2025-11-18 11:30:00,120,T900010,T900012,,completed,2025-11-19 10:41:53,0.434,2025-11-18 09:30:00,2025-11-18,0.16,0.694,67.6,0.6,56.95,0.726,58.5,ml_based,0.143,53.76,0.274,0.03200000000000003,-9.099999999999994,-0.45699999999999996,-3.190000000000005
200000025,Order,install,Normal,Copper ONT installation,In Progress,1343 Main St,Phoenix,PHOENIX,AZ,98356,33.22415,-111.86409,2026-01-13 10:00:00,2026-01-13 11:00:00,60,T900064,T900071,,completed,2025-11-19 10:41:53,0.553,2026-01-13 10:00:00,2026-01-13,0.184,0.578,46.8,1.0,34.66,0.688,37.7,ml_based,0.25,34.76,0.36900000000000005,0.10999999999999999,-9.099999999999994,-0.75,0.10000000000000142
200000026,Trouble,,Critical,Line repair,In Progress,7905 Elm St,San Diego,SAN DIEGO,CA,46100,32.637024,-116.823746,2026-01-31 15:15:00,2026-01-31 16:45:00,90,T900105,T900115,,completed,2025-11-19 10:41:53,0.625,2026-01-31 15:15:00,2026-01-31,0.0,0.388,61.9,1.0,57.67,0.68,68.4,ml_based,0.375,21.58,0.625,0.29200000000000004,6.500000000000007,-0.625,-36.09
200000027,Trouble,,Low,Network support,Pending,9774 Elm St,Los Angeles,LOS ANGELES,CA,21853,33.95039,-118.14911,2026-01-19 10:15:00,2026-01-19 11:15:00,60,T900023,T900017,,completed,2025-11-19 10:41:53,0.662,2026-01-19 10:15:00,2026-01-19,0.529,0.496,65.9,0.8,12.61,0.669,56.2,ml_based,0.25,13.04,0.133,0.17300000000000004,-9.700000000000003,-0.55,0.4299999999999997
200000028,Trouble,,Low,Network support,In Progress,7507 Elm St,Dallas,DALLAS,TX,38427,33.101925,-97.15228,2025-12-02 16:00:00,2025-12-02 16:30:00,30,T900126,T900122,,completed,2025-11-19 10:41:53,0.359,2025-12-02 16:00:00,2025-12-02,0.229,0.562,51.4,1.0,30.96,0.671,58.4,ml_based,0.4,55.0,0.12999999999999998,0.10899999999999999,7.0,-0.6,24.04
200000029,Order,install,Normal,Copper ONT installation,Pending,6888 Elm St,Philadelphia,PHILADELPHIA,PA,93501,40.17104,-75.35928,2025-12-17 09:30:00,2025-12-17 11:00:00,90,T900085,T900079,,completed,2025-11-19 10:41:53,0.62,2025-12-17 09:30:00,2025-12-17,0.356,0.641,50.0,0.429,39.37,0.757,42.6,ml_based,0.0,32.2,0.264,0.11599999999999999,-7.399999999999999,-0.429,-7.169999999999995
200000030,Trouble,,Critical,Network troubleshooting,Pending,5191 Elm St,Los Angeles,LOS ANGELES,CA,65616,33.713085,-118.445885,2025-12-02 09:15:00,2025-12-02 09:45:00,30,T900027,T900022,,completed,2025-11-19 10:41:53,0.685,2025-12-02 09:15:00,2025-12-02,0.067,0.499,54.6,0.833,56.84,0.716,51.0,ml_based,0.0,36.78,0.6180000000000001,0.21699999999999997,-3.6000000000000014,-0.833,-20.060000000000002
200000031,Trouble,,Critical,Line repair,Pending,641 Elm St,Phoenix,PHOENIX,AZ,95976,33.568348,-112.210556,2026-01-02 08:15:00,2026-01-02 09:15:00,60,T900074,T900074,,completed,2025-11-19 10:41:53,0.222,2026-01-02 08:15:00,2026-01-02,0.423,0.724,58.8,0.4,34.77,0.683,58.8,ml_based,0.6,34.77,-0.20099999999999998,-0.040999999999999925,0.0,0.19999999999999996,0.0
200000032,Order,install,Normal,Fiber ONT installation,In Progress,1982 Elm St,San Diego,SAN DIEGO,CA,53311,32.55323,-116.99268,2026-01-30 10:15:00,2026-01-30 11:45:00,90,T900113,T900117,,completed,2025-11-19 10:41:53,0.303,2026-01-30 10:15:00,2026-01-30,0.028,0.609,67.1,1.0,47.64,0.669,76.9,ml_based,0.667,34.15,0.27499999999999997,0.06000000000000005,9.800000000000011,-0.33299999999999996,-13.490000000000002
200000033,Order,install,Normal,Fiber ONT installation,Pending,2997 Washington St,New York,NEW YORK,NY,77524,40.61426,-73.94383,2026-01-08 08:45:00,2026-01-08 10:45:00,120,T900006,T900012,,completed,2025-11-19 10:41:53,0.4,2026-01-08 08:45:00,2026-01-08,0.386,0.582,68.5,1.0,17.85,0.686,82.8,ml_based,0.286,37.77,0.014000000000000012,0.10400000000000009,14.299999999999997,-0.714,19.92
200000034,Order,install,Normal,Copper ONT installation,In Progress,680 Elm St,New York,NEW YORK,NY,90733,40.439327,-74.21489,2025-12-04 14:00:00,2025-12-04 14:30:00,30,T900005,T900009,,completed,2025-11-19 10:41:53,0.766,2025-12-04 14:00:00,2025-12-04,0.531,0.65,47.4,0.5,22.45,0.716,54.5,ml_based,0.0,27.27,0.235,0.06599999999999995,7.100000000000001,-0.5,4.82
200000035,Trouble,,Critical,Line repair,Pending,3531 Oak St,San Antonio,SAN ANTONIO,TX,70411,29.338034,-98.84618,2026-01-05 11:15:00,2026-01-05 11:45:00,30,T900092,T900101,,completed,2025-11-19 10:41:53,0.36,2026-01-05 11:15:00,2026-01-05,0.057,0.546,68.2,1.0,45.21,0.707,71.0,ml_based,0.2,58.97,0.303,0.16099999999999992,2.799999999999997,-0.8,13.759999999999998
200000036,Trouble,,Critical,Line repair,In Progress,7951 Elm St,Dallas,DALLAS,TX,95275,32.79135,-96.52119,2026-01-02 14:15:00,2026-01-02 16:15:00,120,T900132,T900129,,completed,2025-11-19 10:41:53,0.849,2026-01-02 14:15:00,2026-01-02,0.831,0.661,59.6,0.0,14.09,0.703,60.9,ml_based,0.143,8.22,0.018000000000000016,0.041999999999999926,1.2999999999999972,0.143,-5.869999999999999
200000037,Trouble,,Low,Network support,Pending,499 Main St,Chicago,CHICAGO,IL,90690,42.11839,-87.71097,2026-01-03 13:30:00,2026-01-03 14:00:00,30,T900042,T900034,,completed,2025-11-19 10:41:53,0.822,2026-01-03 13:30:00,2026-01-03,0.603,0.631,58.0,0.5,16.42,0.684,48.7,ml_based,0.25,8.14,0.21899999999999997,0.05300000000000005,-9.299999999999997,-0.25,-8.280000000000001
200000038,Order,install,Normal,Fiber ONT installation,In Progress,713 Main St,Chicago,CHICAGO,IL,43294,41.65729,-87.37814,2025-12-04 12:15:00,2025-12-04 12:45:00,30,T900034,T900037,,completed,2025-11-19 10:41:53,0.757,2025-12-04 12:15:00,2025-12-04,0.35,0.745,53.6,0.125,50.97,0.704,56.6,ml_based,0.5,4.44,0.40700000000000003,-0.041000000000000036,3.0,0.375,-46.53
200000039,Trouble,,Low,Network support,Pending,4652 Main St,San Antonio,SAN ANTONIO,TX,39463,29.635445,-98.70251,2025-11-22 10:30:00,2025-11-22 11:30:00,60,T900093,T900093,,completed,2025-11-19 10:41:53,0.418,2025-11-22 10:30:00,2025-11-22,0.339,0.704,52.8,0.5,38.4,0.704,52.8,ml_based,0.5,38.4,0.07899999999999996,0.0,0.0,0.0,0.0
200000040,Trouble,,Low,Network support,Pending,2261 Main St,Los Angeles,LOS ANGELES,CA,58806,34.18837,-118.37804,2026-01-15 15:30:00,2026-01-15 17:00:00,90,T900028,T900017,,completed,2025-11-19 10:41:53,0.389,2026-01-15 15:30:00,2026-01-15,0.16,0.458,54.7,1.0,36.67,0.645,61.3,ml_based,0.375,39.03,0.229,0.187,6.599999999999994,-0.625,2.3599999999999994
200000041,Order,install,Normal,Fiber ONT installation,In Progress,2675 Washington St,San Diego,SAN DIEGO,CA,23941,32.56521,-117.175125,2025-11-28 16:45:00,2025-11-28 18:15:00,90,T900109,T900108,,completed,2025-11-19 10:41:53,0.254,2025-11-28 16:45:00,2025-11-28,0.635,0.604,50.6,0.5,13.79,0.65,59.8,ml_based,0.5,42.49,-0.381,0.04600000000000004,9.199999999999996,0.0,28.700000000000003
200000042,Trouble,,Critical,Line repair,In Progress,1352 Main St,Austin,AUSTIN,TX,55003,30.298733,-97.899055,2025-12-12 16:45:00,2025-12-12 17:15:00,30,T900145,T900144,,completed,2025-11-19 10:41:53,0.527,2025-12-12 16:45:00,2025-12-12,0.266,0.583,58.2,0.75,36.16,0.689,59.9,ml_based,0.0,36.03,0.261,0.10599999999999998,1.6999999999999957,-0.75,-0.12999999999999545
200000043,Trouble,,Critical,Line repair,Pending,4996 Main St,Houston,HOUSTON,TX,21268,29.517324,-95.116776,2025-11-19 09:30:00,2025-11-19 11:30:00,120,T900050,T900056,,completed,2025-11-19 10:41:53,0.625,2025-11-19 09:30:00,2025-11-19,0.27,0.483,64.4,0.875,31.68,0.707,85.6,ml_based,0.25,26.46,0.355,0.22399999999999998,21.19999999999999,-0.625,-5.219999999999999
200000044,Order,install,Normal,Copper ONT installation,In Progress,9308 Oak St,Houston,HOUSTON,TX,95792,29.6177,-95.22251,2025-11-12 13:45:00,2025-11-12 15:15:00,90,T900048,T900057,,completed,2025-11-19 10:41:53,0.425,2025-11-12 13:45:00,2025-11-12,0.606,0.594,59.7,0.8,6.19,0.713,68.2,ml_based,0.429,28.83,-0.181,0.119,8.5,-0.37100000000000005,22.639999999999997
200000045,Order,upgrade,Normal,Equipment upgrade,In Progress,4945 Oak St,San Diego,SAN DIEGO,CA,29005,32.913017,-117.430534,2025-11-28 14:00:00,2025-11-28 14:30:00,30,T900106,T900109,,completed,2025-11-19 10:41:53,0.408,2025-11-28 14:00:00,2025-11-28,0.097,0.453,64.1,1.0,41.9,0.656,66.0,ml_based,0.5,31.98,0.31099999999999994,0.203,1.9000000000000057,-0.5,-9.919999999999998
200000046,Order,upgrade,Normal,Equipment upgrade,Pending,7449 Main St,Phoenix,PHOENIX,AZ,32893,33.359875,-111.76357,2025-11-13 09:30:00,2025-11-13 11:30:00,120,T900060,T900071,,completed,2025-11-19 10:41:53,0.444,2025-11-13 09:30:00,2025-11-13,0.266,0.521,57.2,0.875,31.96,0.649,34.3,ml_based,0.5,33.89,0.178,0.128,-22.900000000000006,-0.375,1.9299999999999997
200000047,Order,upgrade,Normal,Equipment upgrade,Pending,8503 Washington St,Chicago,CHICAGO,IL,43632,41.552784,-87.379295,2025-12-08 14:15:00,2025-12-08 14:45:00,30,T900042,T900042,,completed,2025-11-19 10:41:53,0.331,2025-12-08 14:15:00,2025-12-08,0.2,0.679,52.3,0.5,54.98,0.679,52.3,ml_based,0.5,54.98,0.131,0.0,0.0,0.0,0.0
200000048,Order,install,Normal,Copper ONT installation,Pending,7632 Main St,Houston,HOUSTON,TX,69752,29.609007,-95.159,2026-01-21 13:00:00,2026-01-21 14:00:00,60,T900057,T900054,,completed,2025-11-19 10:41:53,0.352,2026-01-21 13:00:00,2026-01-21,0.415,0.713,75.4,0.429,34.46,0.722,71.5,ml_based,0.25,46.14,-0.063,0.009000000000000008,-3.9000000000000057,-0.179,11.68
200000049,Trouble,,Critical,Line repair,Pending,3897 Washington St,Chicago,CHICAGO,IL,94740,41.775124,-87.284935,2025-11-29 10:30:00,2025-11-29 11:30:00,60,T900031,T900034,,completed,2025-11-19 10:41:53,0.385,2025-11-29 10:30:00,2025-11-29,0.465,0.541,52.2,0.625,23.74,0.691,59.4,ml_based,0.375,46.0,-0.08000000000000002,0.1499999999999999,7.199999999999996,-0.25,22.26
200000050,Trouble,,Low,Network support,In Progress,4363 Washington St,Austin,AUSTIN,TX,93549,29.97282,-97.64021,2026-01-12 10:30:00,2026-01-12 12:00:00,90,T900137,T900137,,completed,2025-11-19 10:41:53,0.487,2026-01-12 10:30:00,2026-01-12,0.509,0.694,72.8,0.25,32.55,0.65,72.8,ml_based,0.5,32.55,-0.02200000000000002,-0.04399999999999993,0.0,0.25,0.0
200000051,Order,install,Normal,Copper ONT installation,In Progress,7747 Oak St,New York,NEW YORK,NY,38669,40.453663,-74.33911,2025-12-07 14:00:00,2025-12-07 15:00:00,60,T900005,T900009,,completed,2025-11-19 10:41:53,0.639,2025-12-07 14:00:00,2025-12-07,0.542,0.65,42.9,0.5,21.52,0.675,53.2,ml_based,0.25,32.59,0.09699999999999998,0.025000000000000022,10.300000000000004,-0.25,11.070000000000004
200000052,Trouble,,Critical,Network troubleshooting,In Progress,2137 Elm St,San Diego,SAN DIEGO,CA,25644,32.776512,-117.21108,2026-01-22 10:15:00,2026-01-22 11:45:00,90,T900114,T900117,,completed,2025-11-19 10:41:53,0.472,2026-01-22 10:15:00,2026-01-22,0.448,0.554,55.6,1.0,12.69,0.634,75.4,ml_based,0.833,10.99,0.023999999999999966,0.07999999999999996,19.800000000000004,-0.16700000000000004,-1.6999999999999993
200000053,Trouble,,Critical,Network troubleshooting,In Progress,5747 Oak St,Houston,HOUSTON,TX,68803,29.719042,-95.30171,2025-12-16 08:15:00,2025-12-16 10:15:00,120,T900057,T900053,,completed,2025-11-19 10:41:53,0.583,2025-12-16 08:15:00,2025-12-16,0.629,0.718,63.3,0.429,16.6,0.704,50.1,ml_based,0.5,10.76,-0.04600000000000004,-0.014000000000000012,-13.199999999999996,0.07100000000000001,-5.840000000000002
200000054,Trouble,,Critical,Network troubleshooting,Pending,6400 Washington St,Austin,AUSTIN,TX,40436,30.150623,-97.870804,2026-01-24 15:00:00,2026-01-24 16:00:00,60,T900148,T900140,,completed,2025-11-19 10:41:53,0.674,2026-01-24 15:00:00,2026-01-24,0.242,0.593,65.1,0.8,36.53,0.664,68.9,ml_based,0.167,21.92,0.43200000000000005,0.07100000000000006,3.8000000000000114,-0.633,-14.61
200000055,Trouble,,Low,Network support,Pending,1770 Washington St,Dallas,DALLAS,TX,59345,32.869896,-96.84293,2026-01-18 13:45:00,2026-01-18 14:15:00,30,T900133,T900131,,completed,2025-11-19 10:41:53,0.171,2026-01-18 13:45:00,2026-01-18,0.56,0.541,43.4,0.571,17.61,0.647,59.8,ml_based,0.571,36.75,-0.389,0.10599999999999998,16.4,0.0,19.14
200000056,Trouble,,Critical,Line repair,Pending,1631 Washington St,Los Angeles,LOS ANGELES,CA,46395,34.064053,-118.53808,2025-11-25 11:30:00,2025-11-25 12:00:00,30,T900015,T900018,,completed,2025-11-19 10:41:53,0.2,2025-11-25 11:30:00,2025-11-25,0.559,0.605,51.6,0.8,10.12,0.703,82.8,ml_based,0.5,50.1,-0.35900000000000004,0.09799999999999998,31.199999999999996,-0.30000000000000004,39.980000000000004
200000057,Order,install,Normal,Fiber ONT installation,In Progress,1615 Main St,Chicago,CHICAGO,IL,45620,41.598934,-87.40863,2025-12-10 11:15:00,2025-12-10 11:45:00,30,T900038,T900034,,completed,2025-11-19 10:41:53,0.253,2025-12-10 11:15:00,2025-12-10,0.168,0.583,38.9,0.75,44.34,0.677,52.1,ml_based,0.5,55.41,0.08499999999999999,0.09400000000000008,13.200000000000003,-0.25,11.069999999999993
200000058,Order,install,Normal,Copper ONT installation,Pending,130 Main St,San Antonio,SAN ANTONIO,TX,32179,29.531336,-98.47001,2025-12-22 08:15:00,2025-12-22 08:45:00,30,T900102,T900097,,completed,2025-11-19 10:41:53,0.567,2025-12-22 08:15:00,2025-12-22,0.605,0.647,46.3,0.167,27.33,0.685,57.7,ml_based,0.25,20.9,-0.038000000000000034,0.038000000000000034,11.400000000000006,0.08299999999999999,-6.43
200000059,Trouble,,Critical,Network troubleshooting,Pending,7136 Oak St,Chicago,CHICAGO,IL,32441,41.96174,-87.89197,2025-12-01 12:00:00,2025-12-01 14:00:00,120,T900033,T900042,,completed,2025-11-19 10:41:53,0.398,2025-12-01 12:00:00,2025-12-01,0.452,0.611,44.9,0.5,28.97,0.652,58.6,ml_based,0.75,29.17,-0.05399999999999999,0.041000000000000036,13.700000000000003,0.25,0.20000000000000284
200000060,Order,upgrade,Normal,Equipment upgrade,In Progress,5942 Oak St,San Antonio,SAN ANTONIO,TX,41426,29.75202,-98.63487,2025-11-24 15:15:00,2025-11-24 17:15:00,120,T900090,T900098,,completed,2025-11-19 10:41:53,0.752,2025-11-24 15:15:00,2025-11-24,0.727,0.682,63.8,0.0,22.74,0.683,54.4,ml_based,0.0,27.62,0.025000000000000022,0.0010000000000000009,-9.399999999999999,0.0,4.880000000000003
